#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
33,Canada,"4,179,337",,"44,085 ",,"4,062,243","+3,600","73,009",257,"108,655","1,146","64,423,248","1,674,891","38,464,135 ",North America,98721,,,"1,898"
34,Peru,"4,118,792",,"215,982 ",,"3,878,670",,"24,140",207,"121,233","6,357","34,539,182","1,016,633","33,974,075 ",South America,81571,,,711
35,Czechia,"4,054,262",,"40,883 ",,"3,996,621",,"16,758",29,"377,060","3,802","56,018,936","5,209,943","10,752,313 ",Europe,32630,,,"1,559"
36,Switzerland,"4,040,280",,"14,157 ",,"3,963,010","+4,323","63,113",55,"459,504","1,610","22,155,821","2,519,796","8,792,703 ",Europe,26210,,,"7,178"
37,South Africa,"4,013,721",,"102,129 ",,"3,905,937",,"5,655",192,"65,863","1,676","26,168,861","429,418","60,940,313 ",Africa,155972,,,93
38,Philippines,"3,898,882",,"62,206 ",,"3,812,644",,"24,032",697,"34,576",552,"32,397,507","287,305","112,763,557 ",Asia,"291,8133",,,213
39,Romania,"3,235,527",,"66,825 ",,"3,132,391",,"36,311",160,"170,669","3,525","24,780,845","1,307,148","18,957,951 ",Europe,62841,,,"1,915"
40,Denmark,"3,096,474",,"6,965 ",,"3,081,473",,"8,036",1,"530,518","1,193","128,252,647","21,973,509","5,836,694 ",Europe,28380,,,"1,377"
41,Sweden,"2,573,548",,"19,974 ",,"2,530,736",,"22,838",13,"251,405","1,951","18,889,790","1,845,311","10,236,645 ",Europe,45121,,,"2,231"
42,Iraq,"2,458,509",,"25,348 ",,"2,431,657",,"1,504",21,"58,269",601,"19,239,264","455,991","42,192,211 ",Asia,"171,6652",,,36
43,Serbia,"2,307,305",,"16,786 ",,"2,226,920",,"63,599",27,"266,413","1,938","10,771,533","1,243,734","8,660,640 ",Europe,45161,,,"7,343"
44,Hungary,"2,058,847",,"47,367 ",,"1,976,808",,"34,672",17,"214,310","4,931","11,394,556","1,186,085","9,606,865 ",Europe,52031,,,"3,609"
45,Bangladesh,"2,014,077",,"29,330 ",,"1,958,047",,"26,700","1,331","11,969",174,"14,785,454","87,868","168,269,264 ",Asia,"845,73711",,,159
46,Singapore,"1,854,455",,"1,601 ",,"1,775,622",,"77,232",10,"311,635",269,"24,345,019","4,091,103","5,950,723 ",Asia,"33,7170",,,"12,979"
47,Slovakia,"1,836,431",,"20,379 ",,"1,812,312",,"3,740",22,"336,010","3,729","7,275,960","1,331,275","5,465,409 ",Europe,32681,,,684
48,New Zealand,"1,756,443","+1,548","2,817 ",+9,"1,742,997","+1,884","10,629",,"351,141",563,"7,508,160","1,501,002","5,002,100 ",Australia/Oceania,"31,7761",309,2,"2,125"
49,Jordan,"1,738,867",,"14,114 ",,"1,721,850",,"2,903",59,"166,812","1,354","17,148,002","1,645,029","10,424,134 ",Asia,67391,,,278
50,Georgia,"1,735,682",,"16,889 ",,"1,637,293",,"81,500",,"436,928","4,252","16,920,079","4,259,335","3,972,470 ",Asia,22350,,,"20,516"
51,Ireland,"1,659,034",,"7,829 ",,"1,642,353",,"8,852",11,"327,993","1,548","12,656,618","2,502,231","5,058,133 ",Europe,36460,,,"1,750"
52,Hong Kong,"1,623,078",,"9,769 ",,"1,357,149",,"256,160",14,"212,732","1,280","54,352,132","7,123,777","7,629,679 ",Asia,57810,,,"33,574"
53,Pakistan,"1,570,538",,"30,594 ",,"1,531,183",,"8,761",119,"6,821",133,"30,222,017","131,256","230,252,171 ",Asia,"1477,5268",,,38
54,Norway,"1,460,826",,"4,004 ",,"1,455,269",,"1,553",20,"264,944",726,"11,002,430","1,995,463","5,513,724 ",Europe,"41,3771",,,282
55,Kazakhstan,"1,391,161",+253,"13,685 ",,"1,361,064",,"16,412",24,"72,205",710,"11,575,012","600,776","19,266,766 ",Asia,"141,4082",13,,852
56,Finland,"1,271,516",,"5,768 ",,"1,240,450",,"25,298",21,"228,711","1,038","11,421,717","2,054,453","5,559,493 ",Europe,49640,,,"4,550"
57,Morocco,"1,264,609",,"16,275 ",,"1,248,072",,262,293,"33,398",430,"12,494,110","329,963","37,865,154 ",Africa,"302,3273",,,7
58,Bulgaria,"1,247,215",,"37,638 ",,"1,198,427",,"11,150",39,"182,490","5,507","10,469,115","1,531,819","6,834,435 ",Europe,51821,,,"1,631"
59,Lithuania,"1,224,515",,"9,296 ",,"1,198,147",,"17,072",7,"463,913","3,522","10,128,629","3,837,273","2,639,538 ",Europe,22840,,,"6,468"
60,Croatia,"1,218,663",,"16,772 ",,"1,196,981",,"4,910",11,"300,899","4,141","5,161,769","1,274,486","4,050,080 ",Europe,32411,,,"1,212"
61,Lebanon,"1,212,025",,"10,642 ",,"1,087,587",,"113,796",186,"179,325","1,575","4,795,578","709,530","6,758,808 ",Asia,66351,,,"16,837"
62,Tunisia,"1,144,824",,"29,238 ",,N/A,N/A,N/A,99,"94,704","2,419","4,927,472","407,618","12,088,444 ",Africa,114132,,,"1,460"
63,Slovenia,"1,138,287",,"6,789 ",,"1,110,788",,"20,710",13,"547,369","3,265","2,727,141","1,311,402","2,079,561 ",Europe,23061,,,"9,959"
64,Cuba,"1,110,808",,"8,530 ",,"1,102,100",,178,23,"98,201",754,"14,064,773","1,243,400","11,311,540 ",North America,"101,3261",,,16
65,Guatemala,"1,108,779",,"19,626 ",,"1,084,674",,"4,479",5,"59,488","1,053","5,702,082","305,926","18,638,762 ",North America,179503,,,240
66,Bolivia,"1,105,236",,"22,212 ",,"1,037,679",,"45,345",220,"91,946","1,848","2,705,422","225,068","12,020,465 ",South America,115414,,,"3,772"
